ref_id,fonte,autor,ano,arxiv,doi,journal,titulo,raw
G001,GONZALEZ-GARCIA,J. N. Bahcall,1989,,,,,"J. N. Bahcall, NEUTRINO ASTROPHYSICS (1989), ISBN 9780521379755."
G002,GONZALEZ-GARCIA,R. N. Mohapatra and P. B. Pal,1998,,,World Sci. Lect. Notes Phys.|60|1,,"R. N. Mohapatra and P. B. Pal, World Sci. Lect. Notes Phys. 60, 1 (1998), [World Sci. Lect. Notes Phys.72,1(2004)]."
G003,GONZALEZ-GARCIA,C. W. Kim and A. Pevsner,1993,,,Contemp. Concepts Phys.|8|1,,"C. W. Kim and A. Pevsner, Contemp. Concepts Phys. 8, 1 (1993)."
G004,GONZALEZ-GARCIA,B. Kayser,1989,,,World Sci. Lect. Notes Phys.|25|1,,"B. Kayser, F. Gibrat-Debu and F. Perrier, World Sci. Lect. Notes Phys. 25, 1 (1989)."
G005,GONZALEZ-GARCIA,C. Giunti and C. W. Kim,2007,,,,,"C. Giunti and C. W. Kim, Fundamentals of Neutrino Physics and Astrophysics (2007), ISBN 9780198508717."
G006,GONZALEZ-GARCIA,M. C. Gonzalez-Garcia and Y. Nir,2003,hep-ph/0202058,,Rev. Mod. Phys.|75|345,,"M. C. Gonzalez-Garcia and Y. Nir, Rev. Mod. Phys. 75, 345 (2003), [hep-ph/0202058]."
G007,GONZALEZ-GARCIA,M. C. Gonzalez-Garcia and M. Maltoni,2008,0704.1800,,Phys. Rept.|460|1,,"M. C. Gonzalez-Garcia and M. Maltoni, Phys. Rept. 460, 1 (2008), [arXiv:0704.1800]."
G008,GONZALEZ-GARCIA,A. Pilaftsis,1992,hep-ph/9901206,,Z. Phys.|C55|275,,"A. Pilaftsis, Z. Phys. C55, 275 (1992), [hep-ph/9901206]."
G009,GONZALEZ-GARCIA,P. Minkowski,1977,,,,,"P. Minkowski, Phys. Lett. 67B, 421 (1977)."
G010,GONZALEZ-GARCIA,P. Ramond,1979,hep-ph/9809459,,,,"P. Ramond, in “International Symposium on Fundamentals of Quantum Theory and Quantum Field Theory,” (1979), [hep-ph/9809459]."
G011,GONZALEZ-GARCIA,M. Gell-Mann,1979,1306.4669,,,,"M. Gell-Mann, P. Ramond and R. Slansky, Conf. Proc. C790927, 315 (1979), [arXiv:1306.4669]."
G012,GONZALEZ-GARCIA,T. Yanagida,1979,,,,,"T. Yanagida, Conf. Proc. C 7902131, 95 (1979)."
G013,GONZALEZ-GARCIA,R. N. Mohapatra and G. Senjanovic,1980,,,Phys. Rev. Lett.|44|912,,"R. N. Mohapatra and G. Senjanovic, Phys. Rev. Lett. 44, 912 (1980)."
G014,GONZALEZ-GARCIA,J. Schechter and J. W. F. Valle,1980,,,Phys. Rev.|D21|309,,"J. Schechter and J. W. F. Valle, Phys. Rev. D21, 309 (1980)."
G015,GONZALEZ-GARCIA,J. Schechter and J. W. F. Valle,1980,,,Phys. Rev.|D22|2227,,"J. Schechter and J. W. F. Valle, Phys. Rev. D22, 2227 (1980)."
G016,GONZALEZ-GARCIA,J. Schechter and J. W. F. Valle,1981,,,Phys. Rev.|D24|1883,,"J. Schechter and J. W. F. Valle, Phys. Rev. D24, 1883 (1981), [Erratum: Phys. Rev.D25,283(1982)]."
G017,GONZALEZ-GARCIA,Z. Maki,1962,,,Prog. Theor. Phys.|28|870,,"Z. Maki, M. Nakagawa and S. Sakata, Prog. Theor. Phys. 28, 870 (1962)."
G018,GONZALEZ-GARCIA,Y. Katayama et al.,1962,,,Prog. Theor. Phys.|28|675,,"Y. Katayama et al., Prog. Theor. Phys. 28, 675 (1962)."
G019,GONZALEZ-GARCIA,B. Pontecorvo,1967,,,Zh. Eksp. Teor. Fiz.|53|1717,,"B. Pontecorvo, Zh. Eksp. Teor. Fiz. 53, 1717 (1967)."
G020,GONZALEZ-GARCIA,N. Cabibbo,1963,,,Phys. Rev. Lett.|10|531,,"N. Cabibbo, Phys. Rev. Lett. 10, 531 (1963)."
G021,GONZALEZ-GARCIA,M. Kobayashi and T. Maskawa,1973,,,Prog. Theor. Phys.|49|652,,"M. Kobayashi and T. Maskawa, Prog. Theor. Phys. 49, 652 (1973)."
G022,GONZALEZ-GARCIA,S. Antusch et al.,2006,hep-ph/0607020,,JHEP|10|084,,"S. Antusch et al., JHEP 10, 084 (2006), [hep-ph/0607020]."
G023,GONZALEZ-GARCIA,S. Antusch and O. Fischer,2014,1407.6607,,JHEP|10|094,,"S. Antusch and O. Fischer, JHEP 10, 094 (2014), [arXiv:1407.6607]."
G024,GONZALEZ-GARCIA,V. N. Gribov and B. Pontecorvo,1969,,,,,"V. N. Gribov and B. Pontecorvo, Phys. Lett. 28B, 493 (1969)."
G025,GONZALEZ-GARCIA,E. Akhmedov,2019,1901.05232,,,,"E. Akhmedov, in “International Conference on History of the Neutrino: 1930-2018 Paris, France, September 5-7, 2018,” (2019), [arXiv:1901.05232]."
G026,GONZALEZ-GARCIA,L. Wolfenstein,1978,,,Phys. Rev. D|17|2369,,"L. Wolfenstein, Phys. Rev. D 17, 2369 (1978)."
G027,GONZALEZ-GARCIA,A. Halprin,1986,,,Phys. Rev.|D34|3462,,"A. Halprin, Phys. Rev. D34, 3462 (1986)."
G028,GONZALEZ-GARCIA,A. J. Baltz and J. Weneser,1988,,,Phys. Rev.|D37|3364,,"A. J. Baltz and J. Weneser, Phys. Rev. D37, 3364 (1988)."
